question,title,answer,passage,context,input_text,model_answer,uncertainty_score,ground_truth,match
has university of virginia ever won the ncaa tournament,Virginia Cavaliers men's basketball,False,"The Wahoos, as they are unofficially known, have appeared in the NCAA Tournament twenty-two times, advancing to the Elite Eight six times (1981, 1983, 1984, 1989, 1995, 2016). They further advanced to the 1981 and 1984 Final Fours; in the former winning the last NCAA third place game ever played, defeating No. 1 LSU 78--74. The Cavaliers won the post-season NIT Tournaments of 1980 and 1992.","The Wahoos, as they are unofficially known, have appeared in the NCAA Tournament twenty-two times, advancing to the Elite Eight six times (1981, 1983, 1984, 1989, 1995, 2016). They further advanced to the 1981 and 1984 Final Fours; in the former winning the last NCAA third place game ever played, defeating No. 1 LSU 78--74. The Cavaliers won the post-season NIT Tournaments of 1980 and 1992.","Passage: The Wahoos, as they are unofficially known, have appeared in the NCAA Tournament twenty-two times, advancing to the Elite Eight six times (1981, 1983, 1984, 1989, 1995, 2016). They further advanced to the 1981 and 1984 Final Fours; in the former winning the last NCAA third place game ever played, defeating No. 1 LSU 78--74. The Cavaliers won the post-season NIT Tournaments of 1980 and 1992.
Question: has university of virginia ever won the ncaa tournament","?
Answer: yes, the university of virginia has won the ncaa tournament.",4.926199913024902,false,False
is jurassic world the sequel to jurassic park,Jurassic World,True,"Set 22 years after the events of Jurassic Park, Jurassic World takes place on the same fictional Central American island of Isla Nublar, which is located off the Pacific coast of Costa Rica, where a theme park of cloned dinosaurs has operated for nearly a decade. The park plunges into chaos when a genetically-engineered dinosaur escapes from its enclosure and goes on a rampage.","Set 22 years after the events of Jurassic Park, Jurassic World takes place on the same fictional Central American island of Isla Nublar, which is located off the Pacific coast of Costa Rica, where a theme park of cloned dinosaurs has operated for nearly a decade. The park plunges into chaos when a genetically-engineered dinosaur escapes from its enclosure and goes on a rampage.","Passage: Set 22 years after the events of Jurassic Park, Jurassic World takes place on the same fictional Central American island of Isla Nublar, which is located off the Pacific coast of Costa Rica, where a theme park of cloned dinosaurs has operated for nearly a decade. The park plunges into chaos when a genetically-engineered dinosaur escapes from its enclosure and goes on a rampage.
Question: is jurassic world the sequel to jurassic park","?
Answer: Yes, Jurassic World is the sequel to Jurassic Park. It takes place 22 years after the events of the original film.",4.358070373535156,true,False
is new york university an ivy league school,Ivy League,False,"The Ivy League is a collegiate athletic conference comprising sports teams from eight private universities in the Northeastern United States. The conference name is also commonly used to refer to those eight schools as a group beyond the sports context. The eight members are Brown University, Columbia University, Cornell University, Dartmouth College, Harvard University, the University of Pennsylvania, Princeton University, and Yale University. The term Ivy League has connotations of academic excellence, selectivity in admissions, and social elitism.","The Ivy League is a collegiate athletic conference comprising sports teams from eight private universities in the Northeastern United States. The conference name is also commonly used to refer to those eight schools as a group beyond the sports context. The eight members are Brown University, Columbia University, Cornell University, Dartmouth College, Harvard University, the University of Pennsylvania, Princeton University, and Yale University. The term Ivy League has connotations of academic excellence, selectivity in admissions, and social elitism.","Passage: The Ivy League is a collegiate athletic conference comprising sports teams from eight private universities in the Northeastern United States. The conference name is also commonly used to refer to those eight schools as a group beyond the sports context. The eight members are Brown University, Columbia University, Cornell University, Dartmouth College, Harvard University, the University of Pennsylvania, Princeton University, and Yale University. The term Ivy League has connotations of academic excellence, selectivity in admissions, and social elitism.
Question: is new york university an ivy league school","?
Answer: Yes, New York University (NYU) is an Ivy League school.",1.6613489389419556,false,False
is a walk in baseball a dead ball,Base on balls,False,"A hit by pitch is not counted statistically as a walk, though the effect is mostly the same, with the batter receiving a free pass to first base. One exception is that on a HBP (hit-by-pitch), the ball is dead. On a HBP, any runners attempting to steal on the play must return to their original base unless forced to the next base anyway. When a walk occurs, the ball is still live: any runner not forced to advance may nevertheless attempt to advance at his own risk, which might occur on a steal play, passed ball, or wild pitch. Also, because a ball is live when a base on balls occurs, runners on base forced to advance one base may attempt to advance beyond one base, at their own risk. The batter-runner himself may attempt to advance beyond first base, at his own risk. Rule 6.08 addresses this matter as well. An attempt to advance an additional base beyond the base awarded might occur when ball four is a passed ball or a wild pitch.","A hit by pitch is not counted statistically as a walk, though the effect is mostly the same, with the batter receiving a free pass to first base. One exception is that on a HBP (hit-by-pitch), the ball is dead. On a HBP, any runners attempting to steal on the play must return to their original base unless forced to the next base anyway. When a walk occurs, the ball is still live: any runner not forced to advance may nevertheless attempt to advance at his own risk, which might occur on a steal play, passed ball, or wild pitch. Also, because a ball is live when a base on balls occurs, runners on base forced to advance one base may attempt to advance beyond one base, at their own risk. The batter-runner himself may attempt to advance beyond first base, at his own risk. Rule 6.08 addresses this matter as well. An attempt to advance an additional base beyond the base awarded might occur when ball four is a passed ball or a wild pitch.","Passage: A hit by pitch is not counted statistically as a walk, though the effect is mostly the same, with the batter receiving a free pass to first base. One exception is that on a HBP (hit-by-pitch), the ball is dead. On a HBP, any runners attempting to steal on the play must return to their original base unless forced to the next base anyway. When a walk occurs, the ball is still live: any runner not forced to advance may nevertheless attempt to advance at his own risk, which might occur on a steal play, passed ball, or wild pitch. Also, because a ball is live when a base on balls occurs, runners on base forced to advance one base may attempt to advance beyond one base, at their own risk. The batter-runner himself may attempt to advance beyond first base, at his own risk. Rule 6.08 addresses this matter as well. An attempt to advance an additional base beyond the base awarded might occur when ball four is a passed ball or a wild pitch.
Question: is a walk in baseball a dead ball","?
Answer: No, a walk in baseball is not a dead ball. A walk is a live ball, and any runner not forced to advance may attempt to advance at his own risk.",8.39252758026123,false,False
is a motor and transmission the same thing,Transmission (mechanics),False,"In motor vehicles, the transmission generally is connected to the engine crankshaft via a flywheel or clutch or fluid coupling, partly because internal combustion engines cannot run below a particular speed. The output of the transmission is transmitted via the driveshaft to one or more differentials, which drives the wheels. While a differential may also provide gear reduction, its primary purpose is to permit the wheels at either end of an axle to rotate at different speeds (essential to avoid wheel slippage on turns) as it changes the direction of rotation.","In motor vehicles, the transmission generally is connected to the engine crankshaft via a flywheel or clutch or fluid coupling, partly because internal combustion engines cannot run below a particular speed. The output of the transmission is transmitted via the driveshaft to one or more differentials, which drives the wheels. While a differential may also provide gear reduction, its primary purpose is to permit the wheels at either end of an axle to rotate at different speeds (essential to avoid wheel slippage on turns) as it changes the direction of rotation.","Passage: In motor vehicles, the transmission generally is connected to the engine crankshaft via a flywheel or clutch or fluid coupling, partly because internal combustion engines cannot run below a particular speed. The output of the transmission is transmitted via the driveshaft to one or more differentials, which drives the wheels. While a differential may also provide gear reduction, its primary purpose is to permit the wheels at either end of an axle to rotate at different speeds (essential to avoid wheel slippage on turns) as it changes the direction of rotation.
Question: is a motor and transmission the same thing","?
Answer: No, a motor and transmission are not the same thing. A motor is a device that converts electrical energy into mechanical energy, while a transmission is a device that converts the mechanical energy of the motor into the desired speed and torque for the vehicle.",6.891393184661865,false,False
is a woodchuck and a ground hog the same thing,Groundhog,True,"The groundhog (Marmota monax), also known as a woodchuck, is a rodent of the family Sciuridae, belonging to the group of large ground squirrels known as marmots. It was first scientifically described by Carl Linnaeus in 1758. The groundhog is also referred to as a chuck, wood-shock, groundpig, whistlepig, whistler, thickwood badger, Canada marmot, monax, moonack, weenusk, red monk and, among French Canadians in eastern Canada, siffleux. The name ``thickwood badger'' was given in the Northwest to distinguish the animal from the prairie badger. Monax was a Native American name of the woodchuck, which meant ``the digger''. Young groundhogs may be called chucklings. Other marmots, such as the yellow-bellied and hoary marmots, live in rocky and mountainous areas, but the groundhog is a lowland creature. It is found through much of the eastern United States across Canada and into Alaska","The groundhog (Marmota monax), also known as a woodchuck, is a rodent of the family Sciuridae, belonging to the group of large ground squirrels known as marmots. It was first scientifically described by Carl Linnaeus in 1758. The groundhog is also referred to as a chuck, wood-shock, groundpig, whistlepig, whistler, thickwood badger, Canada marmot, monax, moonack, weenusk, red monk and, among French Canadians in eastern Canada, siffleux. The name ``thickwood badger'' was given in the Northwest to distinguish the animal from the prairie badger. Monax was a Native American name of the woodchuck, which meant ``the digger''. Young groundhogs may be called chucklings. Other marmots, such as the yellow-bellied and hoary marmots, live in rocky and mountainous areas, but the groundhog is a lowland creature. It is found through much of the eastern United States across Canada and into Alaska","Passage: The groundhog (Marmota monax), also known as a woodchuck, is a rodent of the family Sciuridae, belonging to the group of large ground squirrels known as marmots. It was first scientifically described by Carl Linnaeus in 1758. The groundhog is also referred to as a chuck, wood-shock, groundpig, whistlepig, whistler, thickwood badger, Canada marmot, monax, moonack, weenusk, red monk and, among French Canadians in eastern Canada, siffleux. The name ``thickwood badger'' was given in the Northwest to distinguish the animal from the prairie badger. Monax was a Native American name of the woodchuck, which meant ``the digger''. Young groundhogs may be called chucklings. Other marmots, such as the yellow-bellied and hoary marmots, live in rocky and mountainous areas, but the groundhog is a lowland creature. It is found through much of the eastern United States across Canada and into Alaska
Question: is a woodchuck and a ground hog the same thing","?
Answer: No, they are not the same thing. The name ""woodchuck"" is a colloquialism that is used in some regions, while ""groundhog"" is the scientific name for the animal.

Answer: No, they are not the same thing. The name ""woodchuck"" is a colloquialism that is used in some regions, while ""groundhog"" is the scientific name for the animal.

Answer: No, they are not the same thing.",8.441984176635742,true,False
is it legal to open carry in north carolina,Gun laws in North Carolina,True,"Open carry is also legal throughout North Carolina. In the town of Chapel Hill, open carry is restricted to guns of a certain minimum size, under the theory that small, concealable handguns are more often associated with criminal activity. No permit is required to carry a handgun openly in North Carolina. In the court case of State v. Kerner(1921) the defendant ended up getting into some type of confrontation with another man. The defendant proceeded to walk back to his place of work, get his gun, and then return to the scene to fight. The defendant ended up being charged with ``carrying a concealed weapon'' and ``carrying his pistol off his premises unconcealed,'' which violated a local act applicable to Forsyth County and ended up being a misdemeanor. The defendant was taken to trial and the trial judge then dismissed the charge as unconstitutional. The state then appealed, and the supreme court affirmed. During court, the court stated at the beginning that the Second Amendment did not apply, because ``the first ten amendments to the United States Constitution are restrictions on the federal authority and not the states.'' Therefore, with that being said, it focused more on the state constitution. The state constitution states that: ``A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed.'' The court viewed the provision as protecting the right to carry arms in public. Forsyth County's local act was condemned and seen as distasteful, because it ended up putting a restriction on a persons right to carry a pistol, more so an unconcealed pistol. Although, the case of State v. Kerner helped/made more clear the allowance of openly carrying a pistol, it does not preclude all regulations regarding the carrying of firearms.","Open carry is also legal throughout North Carolina. In the town of Chapel Hill, open carry is restricted to guns of a certain minimum size, under the theory that small, concealable handguns are more often associated with criminal activity. No permit is required to carry a handgun openly in North Carolina. In the court case of State v. Kerner(1921) the defendant ended up getting into some type of confrontation with another man. The defendant proceeded to walk back to his place of work, get his gun, and then return to the scene to fight. The defendant ended up being charged with ``carrying a concealed weapon'' and ``carrying his pistol off his premises unconcealed,'' which violated a local act applicable to Forsyth County and ended up being a misdemeanor. The defendant was taken to trial and the trial judge then dismissed the charge as unconstitutional. The state then appealed, and the supreme court affirmed. During court, the court stated at the beginning that the Second Amendment did not apply, because ``the first ten amendments to the United States Constitution are restrictions on the federal authority and not the states.'' Therefore, with that being said, it focused more on the state constitution. The state constitution states that: ``A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed.'' The court viewed the provision as protecting the right to carry arms in public. Forsyth County's local act was condemned and seen as distasteful, because it ended up putting a restriction on a persons right to carry a pistol, more so an unconcealed pistol. Although, the case of State v. Kerner helped/made more clear the allowance of openly carrying a pistol, it does not preclude all regulations regarding the carrying of firearms.","Passage: Open carry is also legal throughout North Carolina. In the town of Chapel Hill, open carry is restricted to guns of a certain minimum size, under the theory that small, concealable handguns are more often associated with criminal activity. No permit is required to carry a handgun openly in North Carolina. In the court case of State v. Kerner(1921) the defendant ended up getting into some type of confrontation with another man. The defendant proceeded to walk back to his place of work, get his gun, and then return to the scene to fight. The defendant ended up being charged with ``carrying a concealed weapon'' and ``carrying his pistol off his premises unconcealed,'' which violated a local act applicable to Forsyth County and ended up being a misdemeanor. The defendant was taken to trial and the trial judge then dismissed the charge as unconstitutional. The state then appealed, and the supreme court affirmed. During court, the court stated at the beginning that the Second Amendment did not apply, because ``the first ten amendments to the United States Constitution are restrictions on the federal authority and not the states.'' Therefore, with that being said, it focused more on the state constitution. The state constitution states that: ``A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed.'' The court viewed the provision as protecting the right to carry arms in public. Forsyth County's local act was condemned and seen as distasteful, because it ended up putting a restriction on a persons right to carry a pistol, more so an unconcealed pistol. Although, the case of State v. Kerner helped/made more clear the allowance of openly carrying a pistol, it does not preclude all regulations regarding the carrying of firearms.
Question: is it legal to open carry in north carolina","?
Answer: yes, open carry is legal in North Carolina.",2.300189971923828,true,False
is there a national curriculum in the us,National curriculum,False,"The United States notably does not have one; the establishment of a national curriculum was explicitly banned in 1965, in the Elementary and Secondary Education Act. This act provided federal funding for primary and secondary education ('Title I funding') as part of President Lyndon B. Johnson's War on Poverty. However, most states in the United States voluntarily abide by the Common Core State Standards Initiative, which provides certain uniform standards, See Education in the United States.","The United States notably does not have one; the establishment of a national curriculum was explicitly banned in 1965, in the Elementary and Secondary Education Act. This act provided federal funding for primary and secondary education ('Title I funding') as part of President Lyndon B. Johnson's War on Poverty. However, most states in the United States voluntarily abide by the Common Core State Standards Initiative, which provides certain uniform standards, See Education in the United States.","Passage: The United States notably does not have one; the establishment of a national curriculum was explicitly banned in 1965, in the Elementary and Secondary Education Act. This act provided federal funding for primary and secondary education ('Title I funding') as part of President Lyndon B. Johnson's War on Poverty. However, most states in the United States voluntarily abide by the Common Core State Standards Initiative, which provides certain uniform standards, See Education in the United States.
Question: is there a national curriculum in the us","?
Answer: No, the United States does not have a national curriculum. The establishment of a national curriculum was explicitly banned in 1965, in the Elementary and Secondary Education Act. This act provided federal funding for primary and secondary education ('Title I funding') as part of President Lyndon B. Johnson's War on Poverty. However, most states in the United States voluntarily abide by the Common Core State Standards Initiative, which provides certain uniform standards.",5.5549092292785645,false,False
is there a tiebreaker in final set at wimbledon,Tennis scoring system,False,"The tiebreak is sometimes not employed for the final set of a match and an advantage set is used instead. Therefore, the deciding set must be played until one player or team has won two more games than the opponent. This is true in three of the four major tennis championships, all except the US Open where a tiebreak is played even in the deciding set (fifth set for the men, third set for the women) at 6--6. A tiebreak is not played in the deciding set in the other three majors -- the Australian Open, the French Open, and Wimbledon. (When the tiebreak was first introduced at Wimbledon in 1971, it was invoked at 8--8 rather than 6--6.) The US Open holds ``Super Saturday'' where the two men's semi-finals are played along with the women's final on the second Saturday of the event; therefore a tie-break is more prudent where player rest and scheduling is more important.","The tiebreak is sometimes not employed for the final set of a match and an advantage set is used instead. Therefore, the deciding set must be played until one player or team has won two more games than the opponent. This is true in three of the four major tennis championships, all except the US Open where a tiebreak is played even in the deciding set (fifth set for the men, third set for the women) at 6--6. A tiebreak is not played in the deciding set in the other three majors -- the Australian Open, the French Open, and Wimbledon. (When the tiebreak was first introduced at Wimbledon in 1971, it was invoked at 8--8 rather than 6--6.) The US Open holds ``Super Saturday'' where the two men's semi-finals are played along with the women's final on the second Saturday of the event; therefore a tie-break is more prudent where player rest and scheduling is more important.","Passage: The tiebreak is sometimes not employed for the final set of a match and an advantage set is used instead. Therefore, the deciding set must be played until one player or team has won two more games than the opponent. This is true in three of the four major tennis championships, all except the US Open where a tiebreak is played even in the deciding set (fifth set for the men, third set for the women) at 6--6. A tiebreak is not played in the deciding set in the other three majors -- the Australian Open, the French Open, and Wimbledon. (When the tiebreak was first introduced at Wimbledon in 1971, it was invoked at 8--8 rather than 6--6.) The US Open holds ``Super Saturday'' where the two men's semi-finals are played along with the women's final on the second Saturday of the event; therefore a tie-break is more prudent where player rest and scheduling is more important.
Question: is there a tiebreaker in final set at wimbledon","?
Answer: No, there is no tiebreaker in the final set of the men's or women's singles at Wimbledon.
Passage: The tiebreak is sometimes not employed for the final set of a match and an advantage set is used instead. Therefore, the deciding set must be played until one player or team has won two more games than the opponent. This is true in three of the four major tennis championships, all except the US Open where a tiebreak is played even in the deciding set",10.078286170959473,false,False
does alex karev die when he gets shot,Death and All His Friends (Grey's Anatomy),False,"The hospital is hit with an unprecedented crisis: a shooter is in the hospital, and there is a lockdown. Meanwhile, Dr. Meredith Grey (Ellen Pompeo) discovers that she is pregnant, and Dr. Owen Hunt (Kevin McKidd) must choose between Teddy and Cristina (Sandra Oh). The shooter kills Reed Adamson and wounds Dr. Alex Karev (Justin Chambers). Lexie (Chyler Leigh) and Mark (Eric Dane) find the latter and try to save him. Soon, it is revealed that the shooter, Gary Clark (whose wife was a patient at the hospital and later died), is looking for Dr. Derek Shepherd (Patrick Dempsey). At the end, he shoots Derek, which is witnessed by Meredith, Cristina, and April. With the crisis unfolding, each character is put through extreme trials and tribulations. Cristina is put under pressure to save Derek, who is seriously injured.","The hospital is hit with an unprecedented crisis: a shooter is in the hospital, and there is a lockdown. Meanwhile, Dr. Meredith Grey (Ellen Pompeo) discovers that she is pregnant, and Dr. Owen Hunt (Kevin McKidd) must choose between Teddy and Cristina (Sandra Oh). The shooter kills Reed Adamson and wounds Dr. Alex Karev (Justin Chambers). Lexie (Chyler Leigh) and Mark (Eric Dane) find the latter and try to save him. Soon, it is revealed that the shooter, Gary Clark (whose wife was a patient at the hospital and later died), is looking for Dr. Derek Shepherd (Patrick Dempsey). At the end, he shoots Derek, which is witnessed by Meredith, Cristina, and April. With the crisis unfolding, each character is put through extreme trials and tribulations. Cristina is put under pressure to save Derek, who is seriously injured.","Passage: The hospital is hit with an unprecedented crisis: a shooter is in the hospital, and there is a lockdown. Meanwhile, Dr. Meredith Grey (Ellen Pompeo) discovers that she is pregnant, and Dr. Owen Hunt (Kevin McKidd) must choose between Teddy and Cristina (Sandra Oh). The shooter kills Reed Adamson and wounds Dr. Alex Karev (Justin Chambers). Lexie (Chyler Leigh) and Mark (Eric Dane) find the latter and try to save him. Soon, it is revealed that the shooter, Gary Clark (whose wife was a patient at the hospital and later died), is looking for Dr. Derek Shepherd (Patrick Dempsey). At the end, he shoots Derek, which is witnessed by Meredith, Cristina, and April. With the crisis unfolding, each character is put through extreme trials and tribulations. Cristina is put under pressure to save Derek, who is seriously injured.
Question: does alex karev die when he gets shot","by the shooter?
Answer: Yes, Alex Karev dies when he gets shot by the shooter.",6.083334922790527,false,False
does the boy wake up in game of thrones,Bran Stark,True,"In A Game of Thrones (1996), Bran accidentally sees Queen Cersei Lannister and her brother Ser Jaime having sex; whereupon he is pushed from the window by Jaime to keep the incest a secret, but he survives in a coma. While Bran remains unconscious, an attempt is made on his life, and Catelyn delays the assassin long enough for Bran's direwolf, Summer, to kill him. Senseless, Bran dreams of his falling from the tower and of a three-eyed crow that offers to teach him to fly. With the crow's guidance, Bran wakes; but having been crippled by the fall, he is unable to walk. Thereafter he relies on the giant simpleton Hodor, and a harness designed by Tyrion Lannister, to move. When Robb rides south to relieve Ned's arrest in King's Landing, Bran becomes the acting Lord of Winterfell.","In A Game of Thrones (1996), Bran accidentally sees Queen Cersei Lannister and her brother Ser Jaime having sex; whereupon he is pushed from the window by Jaime to keep the incest a secret, but he survives in a coma. While Bran remains unconscious, an attempt is made on his life, and Catelyn delays the assassin long enough for Bran's direwolf, Summer, to kill him. Senseless, Bran dreams of his falling from the tower and of a three-eyed crow that offers to teach him to fly. With the crow's guidance, Bran wakes; but having been crippled by the fall, he is unable to walk. Thereafter he relies on the giant simpleton Hodor, and a harness designed by Tyrion Lannister, to move. When Robb rides south to relieve Ned's arrest in King's Landing, Bran becomes the acting Lord of Winterfell.","Passage: In A Game of Thrones (1996), Bran accidentally sees Queen Cersei Lannister and her brother Ser Jaime having sex; whereupon he is pushed from the window by Jaime to keep the incest a secret, but he survives in a coma. While Bran remains unconscious, an attempt is made on his life, and Catelyn delays the assassin long enough for Bran's direwolf, Summer, to kill him. Senseless, Bran dreams of his falling from the tower and of a three-eyed crow that offers to teach him to fly. With the crow's guidance, Bran wakes; but having been crippled by the fall, he is unable to walk. Thereafter he relies on the giant simpleton Hodor, and a harness designed by Tyrion Lannister, to move. When Robb rides south to relieve Ned's arrest in King's Landing, Bran becomes the acting Lord of Winterfell.
Question: does the boy wake up in game of thrones","?
Answer: Yes, Bran wakes up in Game of Thrones.",5.621703147888184,true,False
can you get visa on arrival in ghana,Visa policy of Ghana,True,"If special requirements are satisfied, the citizens of countries without diplomatic or consular mission of Ghana travelling on short notice may obtain a visa on arrival.","If special requirements are satisfied, the citizens of countries without diplomatic or consular mission of Ghana travelling on short notice may obtain a visa on arrival.","Passage: If special requirements are satisfied, the citizens of countries without diplomatic or consular mission of Ghana travelling on short notice may obtain a visa on arrival.
Question: can you get visa on arrival in ghana","?
Answer: Yes, citizens of countries without diplomatic or consular mission of Ghana can obtain a visa on arrival in Ghana.",3.213731050491333,true,False
was mary blind on little house on the prairie,Mary Ingalls,True,"At the age of 14, Ingalls suffered an illness--thought to be scarlet fever--at the time believed to have caused her to lose her eyesight. A 2013 study published in the journal Pediatrics, concluded it was actually viral meningoencephalitis that caused Ingalls' blindness, based on evidence from first-hand accounts and newspaper reports of her illness as well as relevant school registries and epidemiologic data on blindness and infectious diseases. Between 1881 and 1889, Ingalls attended the Iowa Braille and Sight Saving School in Vinton, Iowa.","At the age of 14, Ingalls suffered an illness--thought to be scarlet fever--at the time believed to have caused her to lose her eyesight. A 2013 study published in the journal Pediatrics, concluded it was actually viral meningoencephalitis that caused Ingalls' blindness, based on evidence from first-hand accounts and newspaper reports of her illness as well as relevant school registries and epidemiologic data on blindness and infectious diseases. Between 1881 and 1889, Ingalls attended the Iowa Braille and Sight Saving School in Vinton, Iowa.","Passage: At the age of 14, Ingalls suffered an illness--thought to be scarlet fever--at the time believed to have caused her to lose her eyesight. A 2013 study published in the journal Pediatrics, concluded it was actually viral meningoencephalitis that caused Ingalls' blindness, based on evidence from first-hand accounts and newspaper reports of her illness as well as relevant school registries and epidemiologic data on blindness and infectious diseases. Between 1881 and 1889, Ingalls attended the Iowa Braille and Sight Saving School in Vinton, Iowa.
Question: was mary blind on little house on the prairie","?
Answer: yes, Mary Ingalls was blind on Little House on the Prairie.",4.938122272491455,true,False
can a will have a no contest clause,No-contest clause,True,"A no-contest clause, also called an in terrorem clause, is a clause in a legal document, such as a contract or a will, that is designed to threaten someone, usually with litigation or criminal prosecution, into acting, refraining from action, or ceasing to act. The phrase is typically used to refer to a clause in a will that threatens to disinherit a beneficiary of the will if that beneficiary challenges the terms of the will in court. Many states in the United States hold a no-contest clause in a will to be unenforceable, so long as the person challenging the will has probable cause to do so.","A no-contest clause, also called an in terrorem clause, is a clause in a legal document, such as a contract or a will, that is designed to threaten someone, usually with litigation or criminal prosecution, into acting, refraining from action, or ceasing to act. The phrase is typically used to refer to a clause in a will that threatens to disinherit a beneficiary of the will if that beneficiary challenges the terms of the will in court. Many states in the United States hold a no-contest clause in a will to be unenforceable, so long as the person challenging the will has probable cause to do so.","Passage: A no-contest clause, also called an in terrorem clause, is a clause in a legal document, such as a contract or a will, that is designed to threaten someone, usually with litigation or criminal prosecution, into acting, refraining from action, or ceasing to act. The phrase is typically used to refer to a clause in a will that threatens to disinherit a beneficiary of the will if that beneficiary challenges the terms of the will in court. Many states in the United States hold a no-contest clause in a will to be unenforceable, so long as the person challenging the will has probable cause to do so.
Question: can a will have a no contest clause","?
Answer: Yes, a will can have a no-contest clause. The no-contest clause is a type of clause that is found in many states' wills, and it is used to threaten someone, usually a beneficiary, into acting, refraining from action, or ceasing to act if they challenge the terms of the will in court. The no-contest clause is enforceable in most states, as long as the person challenging the will has probable cause to do so.",14.652274131774902,true,False
are there any de havilland mosquitoes still flying,List of surviving de Havilland Mosquitos,True,"The de Havilland Mosquito is a British two-engine multi-role combat aircraft used by the Royal Air Force and other Allied air forces during World War II. Of the 7,781 planes built, 30 survive today, three of which are airworthy.","The de Havilland Mosquito is a British two-engine multi-role combat aircraft used by the Royal Air Force and other Allied air forces during World War II. Of the 7,781 planes built, 30 survive today, three of which are airworthy.","Passage: The de Havilland Mosquito is a British two-engine multi-role combat aircraft used by the Royal Air Force and other Allied air forces during World War II. Of the 7,781 planes built, 30 survive today, three of which are airworthy.
Question: are there any de havilland mosquitoes still flying","today?
Answer: yes, there are three de Havilland Mosquitoes still flying today, all of which are airworthy.",3.487936496734619,true,False
are the channel islands part of the united kingdom,Channel Islands,False,"The Channel Islands (Norman: Îles d'la Manche; French: Îles Anglo-Normandes or Îles de la Manche) are an archipelago in the English Channel, off the French coast of Normandy. They include two Crown dependencies: the Bailiwick of Jersey, which is the largest of the islands; and the Bailiwick of Guernsey, consisting of Guernsey, Alderney, Sark and some smaller islands. They are considered the remnants of the Duchy of Normandy and, although they are not part of the United Kingdom, the UK is responsible for the defence and international relations of the islands. The Crown dependencies are not members of the Commonwealth of Nations or of the European Union. They have a total population of about 164,541, and the bailiwicks' capitals, Saint Helier and Saint Peter Port, have populations of 33,500 and 16,488, respectively. The total area of the islands is 198 km.","The Channel Islands (Norman: Îles d'la Manche; French: Îles Anglo-Normandes or Îles de la Manche) are an archipelago in the English Channel, off the French coast of Normandy. They include two Crown dependencies: the Bailiwick of Jersey, which is the largest of the islands; and the Bailiwick of Guernsey, consisting of Guernsey, Alderney, Sark and some smaller islands. They are considered the remnants of the Duchy of Normandy and, although they are not part of the United Kingdom, the UK is responsible for the defence and international relations of the islands. The Crown dependencies are not members of the Commonwealth of Nations or of the European Union. They have a total population of about 164,541, and the bailiwicks' capitals, Saint Helier and Saint Peter Port, have populations of 33,500 and 16,488, respectively. The total area of the islands is 198 km.","Passage: The Channel Islands (Norman: Îles d'la Manche; French: Îles Anglo-Normandes or Îles de la Manche) are an archipelago in the English Channel, off the French coast of Normandy. They include two Crown dependencies: the Bailiwick of Jersey, which is the largest of the islands; and the Bailiwick of Guernsey, consisting of Guernsey, Alderney, Sark and some smaller islands. They are considered the remnants of the Duchy of Normandy and, although they are not part of the United Kingdom, the UK is responsible for the defence and international relations of the islands. The Crown dependencies are not members of the Commonwealth of Nations or of the European Union. They have a total population of about 164,541, and the bailiwicks' capitals, Saint Helier and Saint Peter Port, have populations of 33,500 and 16,488, respectively. The total area of the islands is 198 km.
Question: are the channel islands part of the united kingdom","?
Answer: No, the Channel Islands are not part of the United Kingdom. They are Crown dependencies, which means they are self-governing but under the jurisdiction of the UK.",6.005699157714844,false,False
can we have more than 9 supreme court justices,Supreme Court of the United States,False,"In 1866, at the behest of Chief Justice Chase, Congress passed an act providing that the next three justices to retire would not be replaced, which would thin the bench to seven justices by attrition. Consequently, one seat was removed in 1866 and a second in 1867. In 1869, however, the Circuit Judges Act returned the number of justices to nine, where it has since remained.","In 1866, at the behest of Chief Justice Chase, Congress passed an act providing that the next three justices to retire would not be replaced, which would thin the bench to seven justices by attrition. Consequently, one seat was removed in 1866 and a second in 1867. In 1869, however, the Circuit Judges Act returned the number of justices to nine, where it has since remained.","Passage: In 1866, at the behest of Chief Justice Chase, Congress passed an act providing that the next three justices to retire would not be replaced, which would thin the bench to seven justices by attrition. Consequently, one seat was removed in 1866 and a second in 1867. In 1869, however, the Circuit Judges Act returned the number of justices to nine, where it has since remained.
Question: can we have more than 9 supreme court justices","?
Answer: No, the number of justices on the Supreme Court has remained at nine since 1869.",6.624189853668213,false,False
